credit_score,annual_revenue,monthly_expenses,existing_loans,monthly_emi,gst_months,collateral_value,loan_amount,years_in_business,debt_to_income,loan_to_income,profit_estimate,loan_approved
402,4183190,56326,3,66393,15,150786,1463140,15,0.19045656544407497,0.3497665657070322,3507278,1
735,2748965,156365,4,65158,10,2850139,351486,3,0.28443286837045945,0.12786121322024835,872585,1
570,4174603,45274,4,93841,42,1317697,1081752,18,0.2697482850465062,0.2591269157809737,3631315,1
406,2526837,169301,1,63636,27,715053,288409,4,0.3022086505777777,0.1141383476654806,495225,0
371,4721912,98847,0,53434,22,2596051,977077,14,0.13579414440591014,0.20692401722014303,3535748,1
320,335024,277966,2,16403,53,1192423,312533,5,0.5875280576913893,0.9328674960599838,-3000568,0
421,3271536,69615,1,54609,45,225763,1651848,1,0.20030591135173204,0.5049151224379007,2436156,0
766,4577577,138548,0,2420,16,2634375,1712412,9,0.00634396756187826,0.3740869896890866,2915001,1
514,2941894,91296,1,11218,18,778790,1106393,19,0.04575827681078924,0.3760818710667346,1846342,1
630,4518748,263083,4,40691,10,575384,341358,5,0.10805913496393249,0.07554260604928621,1361752,1
758,574319,27076,4,81986,3,2938205,835212,18,1.7130410103096014,1.4542649642446097,249407,1
387,2601756,279040,3,30134,9,155950,899412,5,0.13898613090543463,0.34569421575274545,-746724,0
672,3499596,86798,2,3133,58,1532321,1670658,14,0.010742954329585473,0.47738596112236953,2458020,1
399,2459970,29319,2,60901,54,1545685,1591730,0,0.297081671727704,0.6470526063325975,2108142,0
430,2777153,209468,2,99089,18,2946200,958273,7,0.4281607819230701,0.34505588997077224,263537,1
608,3345743,245368,1,65370,35,2196285,720821,10,0.23445913209711564,0.21544422270329788,401327,1
643,4181917,23468,1,47054,42,2362406,1683575,13,0.135021331126371,0.40258450849215804,3900301,1
791,1405605,132178,2,40503,38,2260479,1574700,0,0.3457841996862561,1.120300511167789,-180531,1
713,805829,163723,3,81671,51,2233591,1254682,13,1.2162034377020434,1.5570077522650587,-1158847,1
685,1633414,165554,0,50570,40,885873,1422551,9,0.3715163455192621,0.8709065797158589,-353234,1
491,2460100,286553,1,69226,59,2025163,1019495,16,0.3376740782895004,0.4144120157717166,-978536,1
576,916087,86083,2,99851,21,310989,1911241,10,1.3079674747049135,2.0863094880726396,-116909,0
