investment_amount,annual_turnover,years_in_business,number_of_employees,udyam_registered,gst_registered,gender,social_category,minority_status,disability_status,age,rural_urban,state,north_east_region,aspirational_district,exporter,startup_dpiit,green_business,women_owned,investment_turnover_ratio,turnover_per_employee,compliance_score,msme_category,mudra,standup_india,cgtmse,startup_seed,clcss,export_scheme,neids,aspirational_scheme
200000595,1023646336,15,191,1,1,0,3,0,0,63,0,12,0,0,1,0,0,1,0.19538056042494292,5331491.333333333,2,2,0,1,1,0,0,1,0,0
325290492,805525524,17,286,1,1,0,0,0,0,37,1,17,0,0,1,1,0,0,0.4038239408987071,2806709.1428571427,2,2,0,0,1,0,0,1,0,0
251075502,963917552,14,147,0,1,1,1,0,0,30,0,27,1,0,0,0,0,1,0.2604740428458615,6512956.432432433,1,2,0,1,0,0,0,0,1,0
459635466,2167023552,8,282,0,1,0,0,0,0,42,1,21,0,0,0,0,1,0,0.21210450867674532,7657327.038869258,1,2,0,0,0,0,0,0,0,0
127621863,1013797705,11,11,1,1,1,2,0,0,51,0,3,0,0,1,0,0,0,0.12588493961338673,84483142.08333333,2,2,0,1,1,0,0,1,0,0
423834972,1120538990,17,276,0,1,0,2,0,0,50,0,1,0,0,0,0,0,1,0.37824205619275947,4045267.1119133574,1,2,0,1,0,0,0,0,0,0
416068276,616720058,4,56,1,1,0,2,0,0,40,0,16,0,0,0,0,0,0,0.6746469000451305,10819650.140350876,2,2,0,1,1,0,0,0,0,0
133324038,39228538,23,173,1,1,0,3,1,0,34,1,2,0,0,0,0,0,0,3.39864908045645,225451.36781609195,2,2,0,1,1,0,0,0,0,0
304324377,796524959,7,204,1,0,0,0,1,0,35,0,14,0,0,0,0,0,0,0.3820650855686933,3885487.604878049,1,2,0,0,1,0,0,0,0,0
133220466,782155174,2,248,1,1,0,3,0,0,63,0,10,0,0,0,0,1,1,0.17032485401634018,3141185.437751004,2,2,0,1,1,0,0,0,0,0
429489014,2195331259,1,266,1,0,0,0,0,0,39,0,21,0,0,0,0,0,0,0.19563745199892976,8222214.453183521,1,2,0,0,1,0,0,0,0,0
249567210,2202929301,24,22,0,1,0,3,0,0,60,0,20,0,1,0,0,0,0,0.11328879677319759,95779534.82608695,1,2,0,1,0,0,0,0,0,1
361946218,1913684433,18,24,1,0,1,2,0,0,51,0,8,0,1,1,0,0,0,0.1891357903995994,76547377.32,1,2,0,1,1,0,0,1,0,1
499072759,342101215,7,194,1,1,0,1,0,0,57,0,20,0,0,0,0,0,0,1.4588453231338412,1754365.2051282052,2,2,0,1,1,0,0,0,0,0
359625748,2453481818,1,96,1,1,0,3,0,0,43,1,1,0,0,0,0,0,1,0.14657771058869215,25293626.98969072,2,2,0,1,1,0,0,0,0,0
434385667,599134182,18,263,1,1,0,3,0,0,64,1,22,0,1,0,0,1,0,0.7250223394447851,2269447.659090909,2,2,0,1,1,0,0,0,0,1
76837383,2444923164,0,72,1,1,0,1,0,0,34,0,5,0,0,0,0,0,1,0.03142732013011951,33492098.1369863,2,2,0,0,1,0,0,0,0,0
356894007,1048805777,21,243,0,1,0,1,0,0,42,0,4,0,0,1,0,1,0,0.3402860801173046,4298384.331967213,1,2,0,1,0,0,0,1,0,0
111290146,1933407111,12,38,1,1,0,3,0,0,50,0,11,0,0,0,0,1,0,0.05756167198789119,49574541.307692304,2,2,0,1,1,0,0,0,0,0
88509749,1598114950,22,89,1,1,0,2,0,0,28,1,12,0,0,1,0,0,0,0.05538384391223933,17756832.777777776,2,2,0,1,1,0,0,1,0,0
242385876,1669947619,19,28,1,0,0,2,1,0,64,1,10,0,0,0,0,0,1,0.1451457956507642,57584400.655172415,1,2,0,1,1,0,0,0,0,0
407734689,397267665,16,92,1,0,1,1,0,0,51,0,27,0,0,0,0,0,1,1.0263475331516156,4271695.322580645,1,2,0,1,1,0,0,0,0,0
416706551,564611899,2,54,1,0,0,3,0,0,36,0,10,1,0,0,0,0,0,0.7380406806870348,10265670.89090909,1,2,0,1,1,0,0,0,1,0
354188427,1966866789,8,159,0,0,0,0,0,0,59,1,9,0,0,0,0,0,0,0.18007748608130192,12292917.43125,0,2,0,0,0,0,0,0,0,0
273056829,1127564538,4,228,0,1,0,1,0,0,44,0,20,0,1,0,0,0,0,0.2421651440388194,4923862.611353712,1,2,0,1,0,0,0,0,0,1
375218629,1694476094,5,41,0,1,0,0,1,0,41,1,21,0,0,0,0,0,0,0.22143636614714238,40344668.9047619,1,2,0,0,0,0,0,0,0,0
3444769,2496501448,3,37,1,0,0,1,1,0,28,0,4,0,0,0,0,0,0,0.0013798385742495116,65697406.526315786,1,2,0,1,1,0,0,0,0,0
244161375,1048151853,16,125,1,1,0,3,0,0,38,0,4,0,0,0,0,0,0,0.2329446578453507,8318665.5,2,2,0,1,1,0,0,0,0,0
250945460,534587911,20,179,1,1,0,2,0,0,58,1,24,0,0,0,0,0,1,0.46941850791418566,2969932.8388888887,2,2,0,1,1,0,0,0,0,0
233068651,2363940753,20,37,1,1,1,1,0,0,26,0,5,0,0,0,0,0,0,0.09859327083626225,62208967.184210524,2,2,0,1,1,0,0,0,0,0
479646681,1063769796,20,101,1,0,0,0,0,0,34,0,8,0,0,0,0,0,1,0.45089330638327946,10429115.647058824,1,2,0,1,1,0,0,0,0,0
106428085,2207621837,15,31,1,1,1,3,0,0,50,0,11,0,1,1,0,0,0,0.04820938222663115,68988182.40625,2,2,0,1,1,0,0,1,0,1
30449564,1495071771,15,190,1,1,0,3,0,1,34,0,2,0,0,0,0,0,0,0.02036662357638306,7827600.895287958,2,2,0,1,1,0,0,0,0,0
244677003,1387430143,21,146,1,1,0,3,0,0,27,1,22,0,0,1,0,0,0,0.17635266471477212,9438300.292517006,2,2,0,1,1,0,0,1,0,0
99152376,1904756440,10,90,1,1,1,0,0,0,24,0,23,0,0,0,0,0,0,0.05205514671888698,20931389.45054945,2,2,0,0,1,0,0,0,0,0
177177808,1378871819,1,6,1,1,0,1,1,0,39,0,25,0,1,0,0,0,0,0.12849476320431294,196981688.42857143,2,2,0,1,1,0,0,0,0,1
106506362,690116097,16,139,0,0,0,2,0,0,45,1,16,0,0,0,0,0,0,0.15433107894260423,4929400.692857143,0,2,0,1,0,0,0,0,0,0
480504538,2259756586,14,95,1,0,1,2,0,0,45,0,14,0,0,0,0,0,0,0.21263552931508725,23539131.104166668,1,2,0,1,1,0,0,0,0,0
106877086,743331853,17,119,1,0,0,0,1,0,39,1,2,0,0,0,0,1,0,0.14378111932762672,6194432.108333333,1,2,0,0,1,0,0,0,0,0
62350665,1145977310,9,120,1,1,1,2,0,0,50,1,22,0,0,1,0,0,1,0.054408289240553735,9470886.859504132,2,2,0,1,1,0,0,1,0,0
200527519,1174764118,5,123,1,0,0,1,0,0,63,0,18,0,0,0,1,0,1,0.17069598548063927,9473904.177419355,1,2,0,1,1,1,0,0,0,0
181109883,513581167,20,285,1,0,0,0,0,0,50,1,7,0,1,0,0,0,0,0.3526412070467506,1795738.3461538462,1,2,0,0,1,0,0,0,0,1
424251739,989413564,15,179,1,1,0,0,0,0,35,1,4,1,0,0,0,0,0,0.4287911081954895,5496742.022222222,2,2,0,0,1,0,0,0,1,0
499870319,222066661,4,7,1,0,0,1,0,0,49,0,5,0,0,0,0,0,0,2.2509921772949424,27758332.625,1,2,0,1,1,0,0,0,0,0
462974382,457235062,11,127,1,1,0,3,0,0,55,0,0,0,0,0,0,0,0,1.0125522285240842,3572148.921875,2,2,0,1,1,0,0,0,0,0
348292957,211918211,5,77,1,1,1,1,0,0,53,0,9,0,0,0,0,0,0,1.6435253662861218,2716900.141025641,2,2,0,1,1,0,0,0,0,0
389251677,1659293079,13,234,1,0,0,1,0,0,59,0,8,0,0,0,0,0,0,0.23458886298736326,7060821.612765958,1,2,0,1,1,0,0,0,0,0
